tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,payment_type,failed_constraints
2025-09-01 00:19:27,2025-09-01 00:30:40,2,0.0,10.7,3.29,1,1
2025-09-01 00:43:38,2025-09-01 00:52:00,1,0.0,8.6,2.72,1,1
2025-09-01 00:06:33,2025-09-01 00:07:03,2,0.12,0.0,0.0,2,1
2025-09-01 00:06:33,2025-09-01 00:07:03,2,0.12,0.0,0.0,2,1
2025-09-01 00:02:13,2025-09-01 00:02:13,1,11.43,46.4,16.7,1,1
2025-09-01 00:19:49,2025-09-01 00:19:49,2,6.66,29.6,8.46,1,1
2025-09-01 00:55:58,2025-09-01 00:55:58,1,4.31,19.1,4.97,1,1
2025-09-01 00:12:46,2025-09-01 00:12:46,1,0.0,12.1,0.0,1,1
2025-09-01 00:39:56,2025-09-01 00:39:56,1,0.0,6.5,2.45,1,1
2025-09-01 00:48:05,2025-09-01 00:48:21,1,0.0,78.0,0.0,1,1
2025-09-01 00:17:42,2025-09-01 00:17:53,2,0.0,-70.0,0.0,4,1
2025-09-01 00:17:42,2025-09-01 00:17:53,2,0.0,70.0,0.0,4,1
2025-09-01 00:19:04,2025-09-01 01:07:42,2,19.94,-84.2,0.0,4,1
2025-09-01 00:20:02,2025-09-01 00:20:02,1,7.37,33.8,0.0,2,1
2025-09-01 00:45:25,2025-09-01 00:45:25,1,1.61,9.3,3.01,1,1
2025-09-01 00:24:55,2025-09-01 00:45:00,1,15.22,-56.9,0.0,4,1
2025-09-01 00:07:59,2025-09-01 00:07:59,1,0.81,6.5,3.67,1,1
2025-09-01 00:36:03,2025-09-01 00:36:03,1,8.53,33.8,2.0,1,1
2025-09-01 00:11:07,2025-09-01 00:11:11,1,0.0,60.0,15.25,1,1
2025-09-01 00:04:26,2025-09-01 00:04:26,3,2.36,14.2,5.38,1,1
2025-09-01 00:17:40,2025-09-01 00:17:40,2,0.48,5.1,3.56,1,1
2025-09-01 00:40:17,2025-09-01 00:40:17,2,2.53,16.3,5.8,1,1
2025-09-01 00:07:00,2025-09-01 00:18:12,1,4.96,-21.9,0.0,2,1
2025-09-01 00:04:17,2025-09-01 00:04:17,1,0.85,6.5,2.45,1,1
2025-09-01 00:29:13,2025-09-01 00:29:13,1,1.96,12.1,0.0,2,1
2025-09-01 00:39:10,2025-09-01 00:39:10,1,0.67,5.1,2.0,1,1
2025-09-01 00:06:38,2025-09-01 00:20:38,1,2.24,-14.2,0.0,4,1
2025-09-01 00:01:48,2025-09-01 00:09:34,1,1.81,-10.0,0.0,4,1
2025-09-01 00:17:46,2025-09-01 00:17:46,1,2.22,13.5,2.0,1,1
2025-09-01 00:51:22,2025-09-01 00:51:22,1,3.27,18.4,4.83,1,1
2025-09-01 00:10:23,2025-09-01 00:29:26,2,3.88,-20.5,0.0,3,1
2025-09-01 00:23:09,2025-09-01 00:43:31,1,6.25,-28.9,0.0,4,1
2025-09-01 00:26:16,2025-09-01 00:26:16,1,6.33,32.4,0.0,1,1
2025-09-01 00:35:58,2025-09-01 00:35:58,1,18.39,70.0,10.0,1,1
2025-09-01 00:41:29,2025-09-01 00:41:34,1,0.0,10.0,0.01,1,1
2025-09-01 00:19:18,2025-09-01 00:19:24,1,0.0,25.0,7.8,1,1
2025-09-01 00:43:12,2025-09-01 00:43:19,2,0.0,60.0,12.2,1,1
2025-09-01 00:20:05,2025-09-01 00:20:40,1,0.0,82.0,0.0,4,1
2025-09-01 00:01:20,2025-09-01 00:09:21,1,0.73,-8.6,0.0,2,1
2025-09-01 00:09:16,2025-09-01 00:09:27,3,0.0,3.0,0.0,2,1
2025-09-01 00:39:07,2025-09-01 00:39:11,4,0.0,14.35,5.58,1,1
2025-09-01 00:34:44,2025-09-01 01:11:54,3,22.39,-70.0,0.0,3,1
2025-09-01 00:05:52,2025-09-01 00:05:57,1,0.0,20.0,7.28,1,1
2025-09-01 00:46:08,2025-09-01 00:52:52,3,2.03,-10.7,0.0,4,1
2025-09-01 00:07:10,2025-09-01 00:07:10,2,1.23,8.6,3.59,1,1
2025-09-01 00:13:23,2025-09-01 00:13:23,2,0.51,5.1,2.17,1,1
2025-09-01 00:20:13,2025-09-01 00:20:13,1,0.46,4.4,2.54,1,1
2025-09-01 00:28:25,2025-09-01 00:28:25,1,0.61,6.5,3.67,1,1
2025-09-01 00:48:53,2025-09-01 00:48:53,3,2.19,12.1,2.0,1,1
2025-09-01 00:09:42,2025-09-01 00:11:43,1,0.19,-4.4,0.0,2,1
2025-09-01 00:29:36,2025-09-01 00:51:50,2,22.32,-38.0,0.0,4,1
2025-09-01 00:44:19,2025-09-01 00:50:04,2,1.85,-10.0,0.0,3,1
2025-09-01 00:04:16,2025-09-01 00:31:25,3,16.01,-80.4,0.0,4,1
2025-09-01 00:13:10,2025-09-01 00:13:16,1,0.0,80.0,0.0,1,1
2025-09-01 00:45:21,2025-09-01 00:53:07,3,2.1,0.0,0.0,3,1
2025-09-01 00:51:20,2025-09-01 00:51:32,1,0.0,10.7,3.29,1,1
2025-09-01 00:39:02,2025-09-01 00:39:10,4,0.0,70.0,14.7,1,1
2025-09-01 00:48:35,2025-09-01 01:00:47,1,0.0,-11.4,0.0,4,1
2025-09-01 00:48:35,2025-09-01 01:00:47,1,0.0,11.4,0.0,4,1
2025-09-01 00:57:52,2025-09-01 01:07:51,1,4.63,-19.8,0.0,4,1
2025-09-01 00:22:05,2025-09-01 00:22:17,1,0.0,3.0,0.0,2,1
2025-09-01 00:23:21,2025-09-01 00:23:37,1,0.0,40.0,8.0,1,1
2025-09-01 00:18:20,2025-09-01 00:18:40,3,0.03,-3.0,0.0,4,1
2025-09-01 00:19:48,2025-09-01 00:20:10,4,0.0,250.0,0.0,1,1
2025-09-01 00:47:42,2025-09-01 00:48:24,2,0.0,180.0,40.4,1,1
2025-09-01 00:40:58,2025-09-01 01:18:33,1,19.71,-70.0,0.0,4,1
2025-09-01 00:14:14,2025-09-01 00:44:28,1,16.77,-62.5,0.0,4,1
2025-09-01 00:02:00,2025-09-01 00:02:04,1,0.0,83.0,15.0,1,1
2025-09-01 00:33:33,2025-09-01 01:30:51,1,11.51,-63.2,0.0,3,1
2025-09-01 00:56:17,2025-09-01 01:06:05,2,0.0,9.3,3.0,1,1
2025-09-01 00:03:39,2025-09-01 00:24:56,1,0.0,17.7,4.69,1,1
2025-09-01 00:34:18,2025-09-01 00:38:58,1,0.0,5.8,2.45,1,1
2025-09-01 00:01:02,2025-09-01 00:01:02,1,3.13,14.9,4.13,1,1
2025-09-01 00:06:57,2025-09-01 00:36:42,1,16.91,-64.6,0.0,2,1
2025-09-01 00:19:00,2025-09-01 00:19:11,4,0.0,-3.0,0.0,4,1
2025-09-01 00:19:00,2025-09-01 00:19:11,4,0.0,3.0,0.0,4,1
2025-09-01 00:20:44,2025-09-01 00:20:51,4,0.0,-3.0,0.0,2,1
2025-09-01 00:20:44,2025-09-01 00:20:51,4,0.0,3.0,0.0,2,1
2025-09-01 00:25:33,2025-09-01 00:25:38,1,0.0,70.0,0.0,2,1
2025-09-01 00:08:41,2025-09-01 00:29:28,2,8.37,-35.9,0.0,4,1
2025-09-01 00:06:28,2025-09-01 00:29:29,3,11.18,-44.3,0.0,4,1
2025-09-01 00:15:31,2025-09-01 00:15:51,1,0.0,3.0,0.0,3,1
2025-09-01 00:45:46,2025-09-01 00:59:34,2,11.96,-44.3,0.0,3,1
2025-09-01 00:16:36,2025-09-01 00:27:43,1,1.78,-12.1,0.0,4,1
2025-09-01 00:11:10,2025-09-01 00:18:08,1,2.93,-13.5,0.0,2,1
2025-09-01 00:24:52,2025-09-01 00:25:03,1,0.0,70.0,0.0,1,1
2025-09-01 00:16:55,2025-09-01 01:02:39,1,22.17,-95.4,0.0,3,1
2025-09-01 00:06:02,2025-09-01 00:11:44,1,0.53,-7.2,0.0,4,1
2025-09-01 00:30:54,2025-09-01 00:47:42,1,3.28,-19.1,0.0,4,1
2025-09-01 00:13:40,2025-09-01 00:25:45,1,2.22,-14.2,0.0,4,1
2025-09-01 00:46:54,2025-09-01 01:08:53,1,5.56,-28.2,0.0,4,1
2025-09-01 00:03:11,2025-09-01 00:03:39,5,0.0,114.0,5.0,1,1
2025-09-01 00:19:09,2025-09-01 00:38:03,1,3.22,-20.5,0.0,2,1
2025-09-01 00:03:21,2025-09-01 00:16:59,2,5.82,-24.7,0.0,4,1
2025-09-01 00:31:24,2025-09-01 00:36:04,1,0.92,-7.2,0.0,4,1
2025-09-01 00:15:50,2025-09-01 00:15:55,1,0.0,150.0,0.0,1,1
2025-09-01 00:53:11,2025-09-01 01:06:48,1,2.59,-14.2,0.0,4,1
2025-09-01 00:14:03,2025-09-01 00:29:30,2,8.2,-70.0,0.0,4,1
2025-09-01 00:41:58,2025-09-01 00:42:03,2,0.0,70.0,14.85,1,1
2025-09-01 00:35:45,2025-09-01 00:47:59,3,8.72,-33.1,0.0,4,1
2025-09-01 00:56:24,2025-09-01 01:16:41,2,6.4,-30.3,0.0,4,1
2025-09-01 00:57:18,2025-09-01 01:07:10,2,4.27,-18.4,0.0,4,1
2025-09-01 00:41:14,2025-09-01 00:57:14,1,8.51,-33.8,0.0,2,1
2025-09-01 00:11:05,2025-09-01 00:36:00,4,16.95,-70.0,0.0,4,1
2025-09-01 00:06:47,2025-09-01 00:15:47,2,1.93,-11.4,0.0,4,1
2025-09-01 00:59:12,2025-09-01 00:59:21,0,0.0,40.0,0.0,1,1
2025-09-01 00:45:31,2025-09-01 00:58:07,1,9.48,-35.9,0.0,4,1
2025-09-01 00:30:23,2025-09-01 00:30:36,1,0.0,70.0,0.0,2,1
2025-09-01 00:50:43,2025-09-01 00:51:23,1,0.0,-70.0,0.0,2,1
2025-09-01 00:50:43,2025-09-01 00:51:23,1,0.0,70.0,0.0,2,1
2025-09-01 00:00:38,2025-09-01 00:00:38,1,0.04,200.0,0.0,1,1
2025-09-01 00:22:42,2025-09-01 00:36:14,1,11.4,-42.9,0.0,2,1
2025-09-01 00:58:38,2025-09-01 01:18:10,2,13.39,-49.9,0.0,4,1
2025-09-01 00:37:55,2025-09-01 00:55:19,1,10.54,-49.9,0.0,4,1
2025-09-01 00:12:16,2025-09-01 00:24:18,2,1.03,-10.7,0.0,4,1
2025-09-01 00:35:43,2025-09-01 00:44:35,2,1.13,-9.3,0.0,4,1
2025-09-01 00:51:49,2025-09-01 01:03:54,1,2.11,-13.5,0.0,4,1
2025-09-01 00:46:35,2025-09-01 00:46:43,2,0.0,45.0,9.5,1,1
2025-09-01 00:14:34,2025-09-01 00:14:34,1,11.86,44.3,15.12,1,1
2025-09-01 00:58:57,2025-09-01 00:58:57,3,1.18,9.3,3.01,1,1
2025-09-01 00:35:42,2025-09-01 00:53:47,3,11.4,-43.6,0.0,4,1
2025-09-01 00:59:25,2025-09-01 01:12:26,1,9.93,-37.3,0.0,4,1
2025-09-01 00:36:06,2025-09-01 00:37:07,2,0.0,70.0,16.3,1,1
2025-09-01 00:06:18,2025-09-01 00:16:48,1,8.1,-31.0,0.0,4,1
2025-09-01 00:33:09,2025-09-01 00:49:52,1,3.87,-40.5,0.0,4,1
2025-09-01 00:51:53,2025-09-01 00:52:02,1,0.0,30.0,6.2,1,1
2025-09-01 00:45:42,2025-09-01 00:57:25,2,8.24,-31.7,0.0,4,1
2025-09-01 00:01:35,2025-09-01 00:15:00,1,3.25,-17.0,0.0,4,1
2025-09-01 00:57:55,2025-09-01 01:10:45,1,9.75,-37.3,0.0,4,1
2025-09-01 00:22:59,2025-09-01 00:38:19,1,10.39,-39.4,0.0,3,1
2025-09-01 00:30:31,2025-09-01 00:33:16,4,1.66,-70.12,0.0,4,1
2025-09-01 00:10:00,2025-09-01 00:10:06,1,0.0,3.0,0.0,4,1
2025-09-01 00:37:12,2025-09-01 00:46:37,1,1.36,-10.7,0.0,4,1
2025-09-01 00:18:10,2025-09-01 00:35:51,1,6.78,-28.9,0.0,4,1
2025-09-01 00:48:48,2025-09-01 00:58:58,1,7.33,-28.2,0.0,4,1
2025-09-01 00:38:18,2025-09-01 01:08:39,2,14.96,-50.0,0.0,4,1
2025-09-01 00:20:13,2025-09-01 00:20:29,1,0.11,-8.5,0.0,4,1
2025-09-01 00:54:19,2025-09-01 00:54:27,1,0.0,85.0,17.85,1,1
2025-09-01 00:18:55,2025-09-01 00:35:23,1,9.83,-38.0,0.0,2,1
2025-09-01 00:34:37,2025-09-01 00:36:12,1,1.14,-6.5,0.0,4,1
2025-09-01 00:52:05,2025-09-01 01:06:02,3,10.99,-40.8,0.0,4,1
2025-09-01 00:26:25,2025-09-01 00:26:25,1,8.98,37.3,0.0,1,1
2025-09-01 00:11:35,2025-09-01 00:45:42,1,15.39,-61.8,0.0,4,1
2025-09-01 00:10:07,2025-09-01 00:25:01,2,3.35,-17.0,0.0,4,1
2025-09-01 00:26:57,2025-09-01 00:51:07,1,3.9,-24.0,0.0,4,1
2025-09-01 00:04:42,2025-09-01 00:04:42,2,10.22,75.0,0.0,2,1
2025-09-01 00:11:04,2025-09-01 00:11:04,1,0.0,70.0,0.0,1,1
2025-09-01 00:21:33,2025-09-01 00:27:32,4,3.4,-14.9,0.0,4,1
2025-09-01 00:55:24,2025-09-01 01:10:51,1,11.82,-44.3,0.0,2,1
2025-09-01 00:54:09,2025-09-01 01:02:57,4,6.62,-26.1,0.0,2,1
2025-09-01 00:03:09,2025-09-01 00:03:16,1,0.0,3.0,0.0,2,1
2025-09-01 00:08:09,2025-09-01 00:08:29,1,0.0,40.0,0.0,1,1
2025-09-01 00:22:17,2025-09-01 00:25:38,1,0.64,-5.1,0.0,4,1
2025-09-01 01:25:47,2025-09-01 01:26:27,1,0.0,10.0,0.02,1,1
2025-09-01 01:23:53,2025-09-01 01:23:59,4,0.03,-15.0,0.0,4,1
2025-09-01 01:07:43,2025-09-01 01:08:25,1,0.13,-3.0,0.0,4,1
2025-09-01 01:13:02,2025-09-01 01:13:26,1,0.01,-3.0,0.0,2,1
2025-09-01 01:36:53,2025-09-01 01:36:53,2,21.02,70.0,16.54,1,1
2025-09-01 01:24:24,2025-09-01 01:28:53,1,1.04,-7.2,0.0,4,1
2025-09-01 01:20:38,2025-09-01 01:20:47,1,0.07,-23.0,0.0,4,1
2025-09-01 01:07:06,2025-09-01 01:07:49,1,0.0,25.0,0.22,1,1
2025-09-01 01:10:43,2025-09-01 01:11:33,4,0.11,-23.0,0.0,3,1
2025-09-01 01:25:14,2025-09-01 01:25:14,1,5.31,26.1,6.37,1,1
2025-09-01 01:41:46,2025-09-01 01:57:34,1,6.56,-28.9,0.0,4,1
2025-09-01 01:22:16,2025-09-01 01:30:07,1,0.0,7.9,0.0,2,1
2025-09-01 01:26:55,2025-09-01 01:26:55,2,3.18,16.3,4.41,1,1
2025-09-01 01:38:08,2025-09-01 01:44:32,1,1.34,-8.6,0.0,4,1
2025-09-01 01:30:52,2025-09-01 01:31:00,1,0.0,10.0,0.0,1,1
2025-09-01 01:12:02,2025-09-01 01:12:02,1,2.01,12.1,0.0,1,1
2025-09-01 01:26:53,2025-09-01 01:26:53,1,1.38,9.3,0.0,1,1
2025-09-01 01:52:05,2025-09-01 01:52:05,1,2.13,10.7,1.0,1,1
2025-09-01 01:22:12,2025-09-01 01:22:12,2,2.53,12.8,0.0,2,1
2025-09-01 01:55:38,2025-09-01 01:55:38,1,5.4,26.8,0.0,2,1
2025-09-01 01:28:13,2025-09-01 01:32:33,1,0.71,-6.5,0.0,4,1
2025-09-01 01:48:44,2025-09-01 01:48:51,1,0.0,3.0,11.0,1,1
2025-09-01 01:42:46,2025-09-01 01:42:46,1,5.02,25.4,9.34,1,1
